รหัสทางแยก,ชื่อทางแยกและทิศทาง,Edge_ขาเข้า,วินาทีเริ่มต้น,วินาทีสิ้นสุด,ช่วงเวลา,ประเภทรถ,ปริมาณรถ(คัน/ชม.),แหล่งที่มา
PTW-03,แยกเฉลิมเผ่า ขาเข้า ถ.พระราม1,edge_chalermphao_in,25200,32400,เร่งด่วนเช้า,รถโดยสารขนาดใหญ่,0.165,ข้อมูลจาก_PDF
PTW-03,แยกเฉลิมเผ่า ขาเข้า ถ.พระราม1,edge_chalermphao_in,25200,32400,เร่งด่วนเช้า,รถบรรทุก4ล้อ,0.22,ข้อมูลจาก_PDF
PTW-03,แยกเฉลิมเผ่า ขาเข้า ถ.พระราม1,edge_chalermphao_in,25200,32400,เร่งด่วนเช้า,รถบรรทุก6ล้อ,0.055,ข้อมูลจาก_PDF
PTW-03,แยกเฉลิมเผ่า ขาเข้า ถ.พระราม1,edge_chalermphao_in,25200,32400,เร่งด่วนเช้า,รถบรรทุก10ล้อขึ้นไป,0.016,ข้อมูลจาก_PDF
PTW-03,แยกเฉลิมเผ่า ขาเข้า ถ.พระราม1,edge_chalermphao_in,25200,32400,เร่งด่วนเช้า,รถพ่วง_รถกึ่งพ่วง,0.016,ข้อมูลจาก_PDF
PTW-03,แยกเฉลิมเผ่า ขาเข้า ถ.พระราม1,edge_chalermphao_in,32400,54000,นอกเวลาเร่งด่วน,รถจักรยาน,0.005,ข้อมูลจาก_PDF
PTW-03,แยกเฉลิมเผ่า ขาเข้า ถ.พระราม1,edge_chalermphao_in,32400,54000,นอกเวลาเร่งด่วน,รถจักรยานยนต์,0.287,ข้อมูลจาก_PDF
PTW-03,แยกเฉลิมเผ่า ขาเข้า ถ.พระราม1,edge_chalermphao_in,32400,54000,นอกเวลาเร่งด่วน,รถตุ๊กตุ๊ก_สามล้อ,0.009,ข้อมูลจาก_PDF
PTW-03,แยกเฉลิมเผ่า ขาเข้า ถ.พระราม1,edge_chalermphao_in,32400,54000,นอกเวลาเร่งด่วน,รถยนต์นั่งส่วนบุคคล,0.431,ข้อมูลจาก_PDF
PTW-03,แยกเฉลิมเผ่า ขาเข้า ถ.พระราม1,edge_chalermphao_in,32400,54000,นอกเวลาเร่งด่วน,รถแท็กซี่,0.096,ข้อมูลจาก_PDF
PTW-03,แยกเฉลิมเผ่า ขาเข้า ถ.พระราม1,edge_chalermphao_in,32400,54000,นอกเวลาเร่งด่วน,รถตู้,0.029,ข้อมูลจาก_PDF
PTW-03,แยกเฉลิมเผ่า ขาเข้า ถ.พระราม1,edge_chalermphao_in,32400,54000,นอกเวลาเร่งด่วน,รถโดยสารขนาดเล็ก,0.019,ข้อมูลจาก_PDF
PTW-03,แยกเฉลิมเผ่า ขาเข้า ถ.พระราม1,edge_chalermphao_in,32400,54000,นอกเวลาเร่งด่วน,รถโดยสารขนาดใหญ่,0.029,ข้อมูลจาก_PDF
PTW-03,แยกเฉลิมเผ่า ขาเข้า ถ.พระราม1,edge_chalermphao_in,32400,54000,นอกเวลาเร่งด่วน,รถบรรทุก4ล้อ,0.039,ข้อมูลจาก_PDF
PTW-03,แยกเฉลิมเผ่า ขาเข้า ถ.พระราม1,edge_chalermphao_in,32400,54000,นอกเวลาเร่งด่วน,รถบรรทุก6ล้อ,0.009,ข้อมูลจาก_PDF
PTW-03,แยกเฉลิมเผ่า ขาเข้า ถ.พระราม1,edge_chalermphao_in,32400,54000,นอกเวลาเร่งด่วน,รถบรรทุก10ล้อขึ้นไป,0.002,ข้อมูลจาก_PDF
PTW-03,แยกเฉลิมเผ่า ขาเข้า ถ.พระราม1,edge_chalermphao_in,32400,54000,นอกเวลาเร่งด่วน,รถพ่วง_รถกึ่งพ่วง,0.002,ข้อมูลจาก_PDF
PTW-03,แยกเฉลิมเผ่า ขาเข้า ถ.พระราม1,edge_chalermphao_in,54000,64800,เร่งด่วนเย็น,รถจักรยาน,0.019,ข้อมูลจาก_PDF
