episode,phase,steps,total_waiting_time,vehicle_count,episode_throughput,episode_reward,avg_speed_kmh,avg_queue_length,reward_avg_speed,reward_emergency_penalty,reward_phase_switch,reward_queue_length,reward_throughput,reward_waiting_time
198,training,3612,144274.0,5427,11133,155.4153,4.85,0.49,83.7,-114.7284,-8.33,-1.0596,279.0,-83.1667
199,training,3605,132047.0,5526,11074,167.8025,4.83,0.5,83.4,-99.8369,-8.96,-1.086,278.0,-83.7147
200,training,3602,176727.0,5441,11041,110.4609,4.84,0.49,83.4,-153.2724,-8.65,-1.0674,278.0,-87.9493
201,training,3612,140076.0,5607,11047,170.7922,4.85,0.5,83.7,-100.8705,-8.25,-1.074,279.0,-81.7133
202,training,3605,139186.0,5581,11099,143.862,4.83,0.46,83.4,-124.6628,-8.35,-1.0026,278.0,-83.5227
203,training,3602,134696.0,5554,10948,170.4784,4.84,0.48,83.4,-103.2778,-8.55,-1.0338,278.0,-78.06
204,training,3612,148781.0,5645,11123,146.7997,4.86,0.51,83.7,-118.6686,-8.39,-1.095,279.0,-87.7467
205,training,3606,182838.0,5551,11039,112.239,4.83,0.51,83.7,-151.0262,-8.1,-1.1028,279.0,-90.232
206,training,3609,181105.0,5602,11091,104.5507,4.84,0.52,83.7,-160.7422,-8.06,-1.1178,279.0,-88.2293
207,training,3612,166228.0,5609,11022,115.6752,4.84,0.49,83.7,-147.3651,-8.05,-1.0644,279.0,-90.5453
208,training,3605,151303.0,5575,10948,152.8429,4.83,0.5,83.4,-115.0018,-7.97,-1.0746,278.0,-84.5107
209,training,3606,143954.0,5557,11155,150.8988,4.85,0.48,83.7,-120.3618,-7.23,-1.0374,279.0,-83.172
210,training,3606,158683.0,5609,11122,122.1482,4.85,0.48,83.7,-147.6529,-7.82,-1.0296,279.0,-84.0493
211,training,3609,154120.0,5516,11202,143.8249,4.84,0.52,83.7,-125.2553,-7.14,-1.1238,279.0,-85.356
212,training,3601,148590.0,5519,11164,155.1238,4.85,0.49,84.0,-118.5852,-6.51,-1.053,280.0,-82.728
213,training,3606,123460.0,5418,11108,167.2556,4.85,0.45,83.7,-107.3571,-6.93,-0.9786,279.0,-80.1787
214,training,3605,143756.0,5474,11188,157.8191,4.89,0.49,84.3,-117.0835,-6.08,-1.0494,281.0,-83.268
215,training,3604,172184.0,5437,11360,133.2933,4.95,0.52,84.9,-138.9637,-5.91,-1.125,283.0,-88.608
216,training,3606,164290.0,5612,11122,133.9948,4.89,0.52,84.6,-138.1817,-6.08,-1.1208,282.0,-87.2227
217,training,3612,151448.0,5595,11254,147.5681,4.95,0.49,85.5,-129.7163,-5.79,-1.0536,285.0,-86.372
218,training,3607,161135.0,5565,11167,151.7595,4.91,0.51,84.9,-123.5674,-5.76,-1.0944,283.0,-85.7187
